airport;name;state
PWM;PORTLAND INTL JETPORT;ME
RAP;RAPID CITY REGIONAL;SD
RDD;REDDING MUNICIPAL;CA
RDM;ROBERTS FIELD;OR
RDU;RALEIGH-DURHAM INTL;NC
RFD;CHICAGO ROCKFORD INTL;IL
RIC;RICHMOND INTL;VA
RNO;RENO-TAHOE INTL;NV
ROA;ROANOKE-BLACKSBURG REGIONAL;VA
ROC;GREATER ROCHESTER INTL;NY
ROW;ROSWELL INTL AIR CENTER;NM
RST;ROCHESTER INTL;MN
RSW;SOUTHWEST FLORIDA INTL;FL
SAN;SAN DIEGO INTL;CA
SAT;SAN ANTONIO INTL;TX
SAV;SAVANNAH/HILTON HEAD INTL;GA
SBA;SANTA BARBARA MUNICIPAL;CA
SBN;SOUTH BEND INTL;IN
SBY;SALISBURY-OCEAN CITY-WICOMICO REGIONAL;MD
SCK;STOCKTON METROPOLITAN;CA
SDF;LOUISVILLE INTL;KY
SEA;SEATTLE-TACOMA INTL;WA
SFB;ORLANDO SANFORD INTL;FL
SFO;SAN FRANCISCO INTL;CA
SGF;SPRINGFIELD-BRANSON NATIONAL;MO
SHD;SHENANDOAH VALLEY REGIONAL;VA
SHV;SHREVEPORT REGIONAL;LA
SJC;SAN JOSE INTL;CA
SLC;SALT LAKE CITY INTL;UT
SMF;SACRAMENTO INTL;CA
SMX;SANTA MARIA PUBLIC;CA
SNA;JOHN WAYNE;CA
SPI;ABRAHAM LINCOLN CAPITAL;IL
SRQ;SARASOTA-BRADENTON INTL;FL
STC;ST. CLOUD REGIONAL;MN
STL;LAMBERT-ST. LOUIS INTL;MO
STS;CHARLES M. SCHULZ-SONOMA COUNTY;CA
SUN;FRIEDMAN MEMORIAL;ID
SUX;SIOUX GATEWAY;IA
SWF;STEWART INTL;NY
SYR;SYRACUSE HANCOCK INTL;NY
TEX;TELLURIDE REGIONAL;CO
TLH;TALLAHASSEE REGIONAL;FL
TOL;TOLEDO EXPRESS;OH
TPA;TAMPA INTL;FL
TRI;TRI-CITIES REGIONAL;TN
TTN;TRENTON-MERCER;NJ
TUL;TULSA INTL;OK
TUS;TUCSON INTL;AZ
TVC;CHERRY CAPITAL;MI
TVL;LAKE TAHOE;CA
TWF;MAGIC VALLEY REGIONAL;ID
TYS;MCGHEE TYSON;TN
UST;NORTHEAST FLORIDA REGIONAL;FL
UTM;TUNICA MUNICIPAL;MS
VPS;NORTHWEST FLORIDA REGIONAL;FL
XNA;NORTHWEST ARKANSAS REGIONAL;AR
YKM;YAKIMA AIR TERMINAL;WA
YNG;YOUNGSTOWN-WARREN REGIONAL;OH
YUM;YUMA INTL;AZ
